Datum;Uhrzeit;Braunschweig_VS;Goettingen_VS;Hannover_VS;Osnabrueck_VS;Oldenburg_VS;Hannover;Jadebusen;Osnabrueck;Ostfriesische_Inseln;Ostfriesland
02.02.23;22:00;24,975;29,737;23,267;23,17;24,814;7,859;7,564;11,648;7,372;10,609
02.02.23;23:00;18,292;23,382;23,478;20,845;15,026;8,819;6,62;15,593;7,086;
03.02.23;00:00;14,607;17,598;23,4;15,43;14,503;11,395;5,465;13,16;5,363;7,386
03.02.23;01:00;13,948;22,143;11,619;;11,56;;4,313;11,441;4,852;6,82
03.02.23;02:00;;14,34;;11,96;;6,742;5,082;10,213;4,378;5,823
03.02.23;03:00;9,605;9,512;12,043;10,478;9,021;6,284;3,97;;;6,22
03.02.23;04:00;7,455;;10,262;10,09;9,684;5,435;;8,14;6,598;4,926
03.02.23;05:00;6,528;13,374;11,702;9,499;8,984;5,164;3,629;7,784;4,048;4,532
03.02.23;06:00;10,273;18,134;20,29;13,148;11,334;5,59;4,03;6,982;4,406;4,658
03.02.23;07:00;16,281;24,741;30,28;21,084;12,53;5,549;3,406;7,287;4,365;4,758
03.02.23;08:00;16,664;15,343;34,01;27,321;20,779;5,338;3,762;7,855;5,378;6,12
03.02.23;09:00;15,528;12,754;35,499;29,365;20,172;6,932;3,163;7,43;3,699;5,198
03.02.23;10:00;16,653;16,323;30,128;31,158;22,144;5,79;2,843;7,639;3,05;5,915
03.02.23;11:00;14,848;13,909;25,599;20,57;15,073;6,362;4,174;7,751;2,078;7,621
03.02.23;12:00;16,127;12,603;23,548;22,669;10,547;5,263;1,453;8,275;1,287;5,365
03.02.23;13:00;12,533;12,72;31,945;22,555;11,765;5,882;1,33;7,79;0,769;3,316
03.02.23;14:00;19,522;22,163;28,613;22,578;12,267;5,598;1,854;7,702;0,951;3,529
03.02.23;15:00;20,053;19,128;24,46;17,429;12,931;4,062;1,496;6,694;0,802;4,17
03.02.23;16:00;16,105;19,645;23,636;19,189;11,556;4,017;1,746;6,725;0,872;5,845
