Lufthygienisches ‹berwachungssystem Niedersachsen;
Braunschweig (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;Regendauer;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;mg/m≥;Status;∞C;Status;hPa;Status;%;Status;min;Status;
28.12.2018;01:00;11,556; ;21,003;;29,515;;0,52000;E;5,28;;1015,0;;82,0;;0;;
28.12.2018;02:00;11,362; ;19,750;;30,160;;0,47319;E;5,21;;1015,0;;84,8;;0;;
28.12.2018;03:00;11,219; ;18,081;;21,463;;0,42846;E;5,07;;1015,2;;87,0;;0;;
28.12.2018;04:00;11,178; ;16,098;;20,279;;0,38532;E;5,35;;1015,4;;88,2;;0;;
28.12.2018;05:00;11,257; ;17,972;;24,199;;0,33676;E;5,52;;1015,4;;88,3;;0;;
28.12.2018;06:00;11,342; ;20,044;;40,995;;0,30736;E;5,41;;1015,5;;88,9;;0;;
28.12.2018;07:00;11,562; ;30,054;;63,387;;0,29339;E;5,27;;1015,9;;92,3;;3;;
28.12.2018;08:00;11,876; ;33,112;;79,477;;0,28957;E;5,11;;1016,2;;95,2;;0;;
28.12.2018;09:00;12,418; ;38,507;;77,053;;0,30789;E;5,04;;1016,5;;95,2;;1;;
28.12.2018;10:00;13,071; ;42,178;;100,367;;0,32675;E;5,11;;1016,8;;95,9;;7;;
28.12.2018;11:00;13,764; ;38,027;;111,082;;0,36436;E;5,33;;1017,1;;96,5;;0;;
28.12.2018;12:00;14,425; ;47,899;;106,875;;0,39394;E;5,66;;1017,2;;94,3;;0;;
28.12.2018;13:00;15,079; ;39,604;;108,817;;0,41625;E;5,87;;1016,9;;91,9;;3;;
28.12.2018;14:00;15,709; ;53,981;;120,569;;0,44381;E;5,84;;1017,0;;93,8;;18;;
28.12.2018;15:00;16,393; ;46,414;;124,446;;0,46328;E;5,62;;1017,6;;97,0;;39;;
28.12.2018;16:00;17,061; ;54,813;;127,786;;0,48738;E;5,45;;1018,0;;97,3;;4;;
28.12.2018;17:00;17,764; ;58,327;;119,149;;0,49591;E;5,27;;1018,4;;97,9;;8;;
28.12.2018;18:00;18,635; ;50,824;;132,399;;0,51601;E;5,06;;1019,0;;97,6;;19;;
28.12.2018;19:00;19,636; ;56,982;;133,386;;0,53923;E;5,01;;1019,3;;96,4;;4;;
28.12.2018;20:00;20,603; ;57,902;;122,278;;0,55180;E;5,15;;1019,6;;93,8;;0;;
28.12.2018;21:00;21,561; ;56,664;;109,470;;0,56454;E;5,10;;1019,7;;93,8;;0;;
28.12.2018;22:00;22,418; ;50,581;;82,057;;0,56159;E;5,03;;1019,6;;93,8;;0;;
28.12.2018;23:00;23,166; ;49,757;;80,300;;0,55323;E;5,00;;1019,7;;94,6;;10;;
29.12.2018;00:00;23,971; ;50,031;;76,648;;0,54841;E;4,76;;1019,8;;95,5;;0;;
29.12.2018;01:00;24,908; ;;*;;*;0,54070;E;4,64;;1019,7;;96,3;;21;;
29.12.2018;02:00;25,739; ;49,427;;59,665;;0,52515;E;4,64;;1019,6;;96,8;;2;;
