Lufthygienisches Überwachungssystem Niedersachsen;
Göttingen (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;Regendauer;;
Datum;Uhrzeit;µg/m³;Status;µg/m³;Status;µg/m³;Status;mg/m³;Status;°C;Status;hPa;Status;%;Status;min;Status;
28.12.2018;01:00;22,065; ;;*;;*;;*;2,21;;1007,4;;85,8;;0;;
28.12.2018;02:00;22,254; ;;*;;*;;*;1,39;;1007,4;;89,0;;0;;
28.12.2018;03:00;22,114; ;;*;;*;;*;0,51;;1007,8;;92,6;;0;;
28.12.2018;04:00;22,596; ;;*;;*;;*;-0,05;;1008,0;;94,1;;0;;
28.12.2018;05:00;22,939; ;;*;;*;;*;-0,16;;1008,1;;93,5;;0;;
28.12.2018;06:00;23,140; ;;*;;*;;*;-0,53;;1008,2;;95,0;;0;;
28.12.2018;07:00;23,260; ;;*;;*;;*;-0,58;;1008,5;;94,5;;0;;
28.12.2018;08:00;23,453; ;;*;;*;;*;-0,34;;1009,0;;93,1;;0;;
28.12.2018;09:00;23,793; ;;*;;*;;*;0,07;;1009,3;;91,3;;0;;
28.12.2018;10:00;24,189; ;;*;;*;;*;0,60;;1009,7;;89,7;;0;;
28.12.2018;11:00;24,638; ;;*;;*;;*;1,52;;1010,0;;85,5;;0;;
28.12.2018;12:00;25,235; ;;*;;*;;*;3,22;;1010,0;;77,4;;0;;
28.12.2018;13:00;25,847; ;;*;;*;;*;3,89;;1009,7;;75,2;;0;;
28.12.2018;14:00;26,572; ;;*;;*;;*;4,17;;1009,7;;75,5;;0;;
28.12.2018;15:00;27,357; ;;*;;*;;*;3,97;;1010,2;;79,8;;0;;
28.12.2018;16:00;28,309; ;;*;;*;;*;3,62;;1010,6;;84,2;;0;;
28.12.2018;17:00;29,218; ;;*;;*;;*;3,38;;1011,0;;87,0;;0;;
28.12.2018;18:00;29,963; ;;*;;*;;*;3,80;;1011,3;;84,7;;0;;
28.12.2018;19:00;30,429; ;;*;;*;;*;3,67;;1011,8;;84,8;;0;;
28.12.2018;20:00;31,006; ;;*;;*;;*;3,37;;1012,3;;86,5;;0;;
28.12.2018;21:00;31,437; ;;*;;*;;*;3,17;;1012,5;;87,8;;2;;
28.12.2018;22:00;31,976; ;;*;;*;;*;3,39;;1012,4;;88,8;;0;;
28.12.2018;23:00;32,057; ;;*;;*;;*;3,08;;1012,5;;90,4;;3;;
29.12.2018;00:00;32,137; ;;*;;*;;*;2,84;;1012,6;;92,0;;12;;
29.12.2018;01:00;32,189; ;;*;;*;;*;2,60;;1012,7;;92,4;;7;;
29.12.2018;02:00;32,148; ;;*;;*;;*;2,68;;1012,5;;91,5;;0;;
29.12.2018;03:00;31,893; ;;*;;*;;*;2,94;;1012,4;;91,5;;7;;
29.12.2018;04:00;31,650; ;;*;;*;;*;3,06;;1012,4;;93,0;;12;;
29.12.2018;05:00;31,406; ;;*;;*;;*;3,49;;1011,9;;90,6;;0;;
29.12.2018;06:00;31,273; ;;*;;*;;*;3,57;;1012,1;;91,2;;13;;
29.12.2018;07:00;31,276; ;;*;;*;;*;3,55;;1012,3;;92,0;;0;;
29.12.2018;08:00;31,247; ;;*;;*;;*;3,47;;1012,5;;93,3;;12;;
29.12.2018;09:00;30,886; ;;*;;*;;*;3,43;;1012,7;;93,9;;11;;
29.12.2018;10:00;30,465; ;;*;;*;;*;3,69;;1012,8;;93,4;;0;;
29.12.2018;11:00;30,136; ;;*;;*;;*;3,99;;1012,5;;91,8;;0;;
29.12.2018;12:00;29,757; ;;*;;*;;*;4,34;;1012,1;;91,7;;0;;
29.12.2018;13:00;29,379; ;;*;;*;;*;4,67;;1010,8;;91,0;;0;;
29.12.2018;14:00;28,815; ;;*;;*;;*;5,20;;1010,2;;88,4;;0;;
29.12.2018;15:00;28,124; ;;*;;*;;*;5,12;;1010,1;;86,8;;0;;
29.12.2018;16:00;27,206; ;;*;;*;;*;5,15;;1009,3;;86,2;;0;;
29.12.2018;17:00;26,138; ;;*;;*;;*;4,99;;1008,3;;86,3;;0;;
29.12.2018;18:00;24,951; ;;*;;*;;*;4,78;;1007,7;;88,3;;27;;
29.12.2018;19:00;23,850; ;;*;;*;;*;4,20;;1007,2;;95,5;;42;;
29.12.2018;20:00;22,583; ;;*;;*;;*;4,02;;1006,4;;98,0;;28;;
29.12.2018;21:00;21,330; ;;*;;*;;*;4,09;;1005,0;;97,9;;45;;
29.12.2018;22:00;20,149; ;;*;;*;;*;4,57;;1004,0;;98,4;;35;;
29.12.2018;23:00;19,184; ;;*;;*;;*;4,90;;1003,5;;99,3;;51;;
30.12.2018;00:00;18,139; ;;*;;*;;*;6,13;;1003,4;;97,6;;51;;
30.12.2018;01:00;17,006; ;;*;;*;;*;6,09;;1003,5;;97,6;;56;;
30.12.2018;02:00;15,953; ;;*;;*;;*;6,04;;1003,7;;98,1;;55;;
30.12.2018;03:00;15,005; ;;*;;*;;*;6,29;;1004,3;;97,7;;14;;
30.12.2018;04:00;13,944; ;;*;;*;;*;6,50;;1005,6;;96,1;;23;;
30.12.2018;05:00;13,101; ;;*;;*;;*;6,55;;1006,8;;88,8;;6;;
30.12.2018;06:00;12,415; ;;*;;*;;*;6,58;;1007,8;;80,0;;0;;
30.12.2018;07:00;11,875; ;;*;;*;;*;6,49;;1008,9;;78,8;;0;;
30.12.2018;08:00;11,408; ;;*;;*;;*;6,43;;1009,7;;80,7;;0;;
30.12.2018;09:00;11,028; ;;*;;*;;*;6,37;;1010,3;;81,6;;0;;
30.12.2018;10:00;10,557; ;;*;;*;;*;6,56;;1010,8;;79,7;;0;;
30.12.2018;11:00;9,995; ;;*;;*;;*;6,86;;1011,6;;77,7;;0;;
30.12.2018;12:00;9,417; ;;*;;*;;*;6,96;;1012,0;;82,4;;0;;
30.12.2018;13:00;8,888; ;;*;;*;;*;7,19;;1011,6;;82,9;;0;;
30.12.2018;14:00;8,503; ;;*;;*;;*;7,45;;1011,5;;80,6;;0;;
30.12.2018;15:00;8,145; ;;*;;*;;*;7,53;;1012,1;;80,4;;1;;
30.12.2018;16:00;7,795; ;;*;;*;;*;7,50;;1012,3;;79,9;;2;;
30.12.2018;17:00;7,601; ;;*;;*;;*;7,38;;1012,3;;80,6;;0;;
30.12.2018;18:00;7,657; ;;*;;*;;*;7,26;;1012,7;;81,8;;0;;
30.12.2018;19:00;7,645; ;;*;;*;;*;7,13;;1012,7;;83,5;;0;;
30.12.2018;20:00;7,768; ;;*;;*;;*;6,98;;1013,2;;85,9;;0;;
30.12.2018;21:00;8,030; ;;*;;*;;*;6,83;;1013,3;;88,4;;0;;
30.12.2018;22:00;8,156; ;;*;;*;;*;6,70;;1013,0;;90,1;;0;;
30.12.2018;23:00;8,354; ;;*;;*;;*;6,85;;1012,9;;89,3;;1;;
31.12.2018;00:00;8,561; ;;*;;*;;*;6,67;;1012,8;;91,6;;0;;
31.12.2018;01:00;8,908; ;;*;;*;;*;6,70;;1012,9;;93,1;;0;;
31.12.2018;02:00;9,377; ;;*;;*;;*;6,64;;1012,7;;94,5;;0;;
31.12.2018;03:00;9,873; ;;*;;*;;*;6,76;;1012,6;;93,5;;0;;
31.12.2018;04:00;10,340; ;;*;;*;;*;7,03;;1012,6;;92,3;;0;;
31.12.2018;05:00;10,765; ;;*;;*;;*;7,00;;1012,5;;93,4;;0;;
31.12.2018;06:00;11,010; ;;*;;*;;*;6,84;;1012,5;;94,8;;0;;
31.12.2018;07:00;11,060; ;;*;;*;;*;6,80;;1012,6;;94,8;;0;;
31.12.2018;08:00;11,045; ;;*;;*;;*;7,19;;1013,0;;93,4;;3;;
31.12.2018;09:00;11,074; ;;*;;*;;*;7,21;;1013,5;;94,9;;0;;
31.12.2018;10:00;11,102; ;;*;;*;;*;7,44;;1013,8;;95,5;;0;;
31.12.2018;11:00;11,211; ;;*;;*;;*;7,99;;1014,0;;93,9;;0;;
31.12.2018;12:00;11,258; ;;*;;*;;*;8,65;;1013,7;;91,1;;0;;
31.12.2018;13:00;11,175; ;;*;;*;;*;9,00;;1013,3;;89,0;;0;;
31.12.2018;14:00;11,067; ;;*;;*;;*;9,18;;1012,8;;87,1;;0;;
31.12.2018;15:00;10,969; ;;*;;*;;*;9,41;;1013,0;;88,2;;0;;
31.12.2018;16:00;10,919; ;;*;;*;;*;9,36;;1013,3;;88,2;;0;;
31.12.2018;17:00;10,910; ;;*;;*;;*;9,33;;1013,4;;88,9;;0;;
31.12.2018;18:00;10,832; ;;*;;*;;*;9,22;;1013,4;;88,4;;0;;
31.12.2018;19:00;10,887; ;;*;;*;;*;9,11;;1013,3;;88,1;;0;;
31.12.2018;20:00;11,082; ;;*;;*;;*;8,84;;1013,2;;88,4;;0;;
31.12.2018;21:00;11,294; ;;*;;*;;*;8,65;;1013,4;;89,3;;0;;
31.12.2018;22:00;11,837; ;;*;;*;;*;8,66;;1013,1;;88,6;;0;;
31.12.2018;23:00;12,505; ;;*;;*;;*;8,65;;1012,8;;87,6;;0;;
01.01.2019;00:00;13,463; ;;*;;*;;*;8,67;;1012,4;;86,8;;0;;
01.01.2019;01:00;17,092; ;;*;;*;;*;8,36;;1012,0;;88,8;;8;;
01.01.2019;02:00;18,543; ;;*;;*;;*;8,14;;1011,3;;84,2;;0;;
01.01.2019;03:00;19,191; ;;*;;*;;*;8,36;;1010,4;;80,8;;0;;
01.01.2019;04:00;19,771; ;;*;;*;;*;8,17;;1009,7;;84,8;;7;;
01.01.2019;05:00;20,539; ;;*;;*;;*;7,79;;1009,2;;86,8;;7;;
01.01.2019;06:00;20,705; ;;*;;*;;*;7,48;;1008,4;;85,5;;26;;
01.01.2019;07:00;20,854; ;;*;;*;;*;6,96;;1007,7;;88,4;;22;;
01.01.2019;08:00;21,100; ;;*;;*;;*;6,62;;1007,3;;90,5;;32;;
01.01.2019;09:00;21,423; ;;*;;*;;*;6,51;;1006,7;;93,5;;38;;
01.01.2019;10:00;21,661; ;;*;;*;;*;6,54;;1006,0;;95,0;;55;;
01.01.2019;11:00;21,661; ;;*;;*;;*;6,64;;1005,6;;96,5;;50;;
01.01.2019;12:00;21,544; ;;*;;*;;*;6,91;;1005,1;;95,6;;43;;
01.01.2019;13:00;21,419; ;;*;;*;;*;7,03;;1004,4;;96,7;;42;;
01.01.2019;14:00;21,308; ;;*;;*;;*;7,35;;1004,1;;95,2;;28;;
01.01.2019;15:00;21,324; ;;*;;*;;*;7,51;;1003,8;;86,8;;1;;
01.01.2019;16:00;21,486; ;;*;;*;;*;7,20;;1004,1;;77,3;;5;;
01.01.2019;17:00;21,581; ;;*;;*;;*;6,81;;1004,0;;75,1;;6;;
01.01.2019;18:00;21,619; ;;*;;*;;*;6,00;;1004,3;;78,7;;17;;
01.01.2019;19:00;21,516; ;;*;;*;;*;5,32;;1004,7;;78,0;;4;;
01.01.2019;20:00;21,200; ;;*;;*;;*;4,71;;1004,9;;79,6;;11;;
01.01.2019;21:00;20,760; ;;*;;*;;*;4,40;;1005,1;;77,4;;0;;
01.01.2019;22:00;20,129; ;;*;;*;;*;4,51;;1005,1;;72,6;;0;;
01.01.2019;23:00;19,324; ;;*;;*;;*;3,89;;1005,2;;77,9;;17;;
02.01.2019;00:00;18,282; ;;*;;*;;*;3,39;;1005,6;;77,7;;6;;
02.01.2019;01:00;14,725; ;;*;;*;;*;3,70;;1005,9;;74,6;;3;;
02.01.2019;02:00;13,339; ;;*;;*;;*;3,66;;1006,0;;75,7;;8;;
02.01.2019;03:00;12,774; ;;*;;*;;*;3,61;;1006,3;;78,3;;4;;
02.01.2019;04:00;12,230; ;;*;;*;;*;3,31;;1006,7;;84,3;;11;;
02.01.2019;05:00;11,451; ;;*;;*;;*;2,94;;1007,3;;86,4;;0;;
02.01.2019;06:00;11,551; ;;*;;*;;*;3,25;;1007,9;;82,6;;0;;
02.01.2019;07:00;11,901; ;;*;;*;;*;3,74;;1008,2;;76,0;;0;;
02.01.2019;08:00;12,308; ;;*;;*;;*;3,73;;1008,6;;75,1;;0;;
02.01.2019;09:00;12,652; ;;*;;*;;*;4,08;;1009,3;;72,9;;0;;
02.01.2019;10:00;12,877; ;;*;;*;;*;4,12;;1010,2;;68,6;;0;;
02.01.2019;11:00;13,064; ;;*;;*;;*;3,74;;1011,0;;62,8;;0;;
02.01.2019;12:00;13,197; ;;*;;*;;*;3,77;;1011,8;;55,4;;0;;
02.01.2019;13:00;13,345; ;;*;;*;;*;3,73;;1012,3;;53,5;;0;;
02.01.2019;14:00;13,459; ;;*;;*;;*;3,85;;1012,6;;49,3;;0;;
02.01.2019;15:00;13,416; ;;*;;*;;*;3,82;;1013,0;;45,7;;0;;
02.01.2019;16:00;13,209; ;;*;;*;;*;3,43;;1013,7;;47,6;;0;;
02.01.2019;17:00;12,953; ;;*;;*;;*;2,77;;1014,5;;47,4;;0;;
02.01.2019;18:00;12,742; ;;*;;*;;*;2,57;;1015,1;;49,6;;0;;
02.01.2019;19:00;12,588; ;;*;;*;;*;2,26;;1015,6;;52,2;;0;;
02.01.2019;20:00;12,460; ;;*;;*;;*;1,72;;1016,3;;56,0;;0;;
02.01.2019;21:00;12,345; ;;*;;*;;*;1,55;;1016,8;;58,2;;0;;
02.01.2019;22:00;12,149; ;;*;;*;;*;0,89;;1016,9;;61,7;;0;;
02.01.2019;23:00;12,216; ;;*;;*;;*;-0,38;;1016,8;;70,6;;0;;
