Lufthygienisches ‹berwachungssystem Niedersachsen;
Hannover;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;∞C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m≤;Status;
28.12.2018;01:00;8,398; ;25,736;;26,606;;24,994;;5,19;;1013,5;;248,4;;0,66;;88,8;;0;;0,0;;
28.12.2018;02:00;8,437; ;22,912;;23,653;;28,773;;5,40;;1013,5;;247,5;;0,78;;89,3;;0;;0,0;;
28.12.2018;03:00;8,428; ;26,122;;26,932;;24,881;;5,31;;1013,8;;254,6;;0,62;;88,1;;0;;0,0;;
28.12.2018;04:00;8,631; ;23,748;;24,501;;27,779;;5,26;;1014,1;;260,1;;0,83;;86,8;;0;;0,0;;
28.12.2018;05:00;9,005; ;19,020;;19,661;;34,195;;5,33;;1014,0;;254,1;;0,98;;86,8;;0;;0,0;;
28.12.2018;06:00;9,388; ;16,333;;16,872;;38,411;;5,53;;1014,0;;259,1;;1,02;;86,5;;0;;0,0;;
28.12.2018;07:00;9,904; ;22,106;;22,851;;32,398;;5,31;;1014,5;;267,0;;0,79;;86,3;;0;;0,0;;
28.12.2018;08:00;10,501; ;25,530;;26,384;;30,858;;5,02;;1014,8;;257,1;;1,11;;84,7;;0;;0,0;;
28.12.2018;09:00;11,147; ;24,160;;25,914;;;*;5,21;;1015,1;;256,2;;1,01;;85,9;;0;;0,9;;
28.12.2018;10:00;11,813; ;26,702;;28,428;;;*;5,26;;1015,4;;257,6;;0,80;;89,7;;0;;11,5;;
28.12.2018;11:00;12,487; ;30,338;;33,257;;;*;5,37;;1015,8;;266,1;;0,91;;91,1;;0;;21,9;;
28.12.2018;12:00;13,048; ;32,007;;36,272;;;*;5,64;;1015,8;;263,9;;0,94;;88,7;;0;;39,5;;
28.12.2018;13:00;13,677; ;35,131;;41,075;;23,665;;5,68;;1015,6;;281,9;;1,01;;87,8;;0;;38,4;;
28.12.2018;14:00;14,321; ;40,696;;47,481;;16,798;;5,52;;1015,9;;269,2;;0,96;;87,3;;0;;26,1;;
28.12.2018;15:00;14,907; ;43,850;;51,174;;14,176;;5,50;;1016,2;;262,9;;0,88;;88,3;;0;;20,1;;
28.12.2018;16:00;15,519; ;47,454;;54,948;;10,765;;5,38;;1016,5;;269,8;;0,84;;89,7;;0;;8,1;;
28.12.2018;17:00;16,131; ;48,575;;52,257;;9,838;;5,26;;1016,9;;266,5;;0,53;;90,3;;0;;0,4;;
28.12.2018;18:00;16,704; ;44,721;;46,877;;13,630;;5,29;;1017,4;;255,5;;0,85;;90,3;;0;;0,0;;
28.12.2018;19:00;17,448; ;50,899;;56,024;;5,574;;4,92;;1017,8;;251,3;;1,18;;91,9;;0;;0,0;;
28.12.2018;20:00;18,311; ;53,818;;63,610;;1,882;E;4,52;;1018,3;;249,9;;1,11;;93,8;;0;;0,0;;
28.12.2018;21:00;19,125; ;50,232;;56,888;;2,831;E;4,44;;1018,1;;221,4;;0,55;;96,4;;0;;0,0;;
28.12.2018;22:00;19,832; ;48,939;;57,997;;;*;4,56;;1018,2;;250,5;;0,50;;96,5;;0;;0,0;;
28.12.2018;23:00;20,579; ;49,663;;54,834;;;*;4,55;;1018,3;;255,7;;0,83;;94,0;;0;;0,0;;
29.12.2018;00:00;21,422; ;49,430;;59,890;;;*;4,39;;1018,4;;249,6;;0,95;;97,2;;19;;0,0;;
29.12.2018;01:00;22,063; ;;*;;*;;*;4,39;;1018,2;;241,5;;1,12;;99,5;;25;;0,0;;
29.12.2018;02:00;22,542; ;47,868;;54,219;;;*;4,39;;1018,0;;234,0;;0,92;;99,6;;6;;0,0;;
29.12.2018;03:00;22,978; ;46,570;;50,776;;;*;4,46;;1018,0;;247,9;;0,93;;99,7;;21;;0,0;;
29.12.2018;04:00;23,410; ;42,103;;43,917;;;*;4,65;;1018,0;;265,6;;0,71;;99,4;;0;;0,0;;
29.12.2018;05:00;23,855; ;42,890;;44,795;;;*;4,74;;1017,7;;264,8;;1,09;;97,0;;0;;0,0;;
29.12.2018;06:00;24,176; ;40,632;;42,374;;9,207;;4,83;;1017,7;;275,9;;0,60;;96,3;;0;;0,0;;
29.12.2018;07:00;24,393; ;38,997;;40,725;;8,699;;4,81;;1017,8;;257,1;;0,62;;97,0;;1;;0,0;;
29.12.2018;08:00;24,464; ;33,722;;35,083;;14,447;;5,33;;1017,9;;253,7;;0,94;;97,0;;12;;0,0;;
29.12.2018;09:00;24,385; ;37,019;;39,352;;9,368;;5,40;;1018,1;;245,4;;1,10;;99,0;;1;;1,4;;
29.12.2018;10:00;24,159; ;36,567;;43,582;;7,957;;5,65;;1017,9;;246,9;;1,09;;98,0;;0;;14,5;;
29.12.2018;11:00;23,867; ;33,020;;45,283;;;*;6,00;;1017,4;;235,1;;1,11;;96,1;;0;;55,2;;
29.12.2018;12:00;23,655; ;30,178;;43,126;;;*;7,16;;1016,5;;230,5;;1,28;;88,5;;0;;132,9;;
29.12.2018;13:00;23,425; ;32,680;;44,299;;16,735;;6,76;;1015,8;;230,2;;1,23;;87,5;;0;;79,6;;
29.12.2018;14:00;23,225; ;33,636;;42,389;;16,519;;6,64;;1015,3;;229,8;;1,25;;88,3;;0;;47,6;;
