Lufthygienisches ‹berwachungssystem Niedersachsen;
Hannover (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;mg/m≥;Status;∞C;Status;hPa;Status;%;Status;
28.12.2018;01:00;13,194; ;32,855;;43,169;;0,46902;E;6,03;;1017,5;;85,9;;
28.12.2018;02:00;13,336; ;28,639;;42,833;;0,43077;E;6,21;;1017,5;;86,7;;
28.12.2018;03:00;13,425; ;30,919;;39,240;;0,40207;E;6,14;;1017,8;;85,5;;
28.12.2018;04:00;13,767; ;32,098;;45,339;;0,36871;E;6,01;;1018,0;;84,3;;
28.12.2018;05:00;14,255; ;27,091;;39,664;;0,33777;E;6,10;;1017,9;;84,1;;
28.12.2018;06:00;14,883; ;38,891;;82,898;;0,29080;E;6,37;;1018,0;;84,0;;
28.12.2018;07:00;15,631; ;42,494;;80,282;;0,28677;E;6,18;;1018,5;;83,9;;
28.12.2018;08:00;16,439; ;47,562;;97,910;;0,27557;E;5,89;;1018,8;;82,1;;
28.12.2018;09:00;17,263; ;47,004;;92,324;;0,28423;E;6,11;;1019,0;;83,0;;
28.12.2018;10:00;18,124; ;50,487;;107,273;;0,30635;E;6,12;;1019,3;;87,2;;
28.12.2018;11:00;19,000; ;52,833;;123,733;;0,32870;E;6,22;;1019,7;;88,8;;
28.12.2018;12:00;19,854; ;62,632;;143,038;;0,36132;E;6,54;;1019,7;;85,7;;
28.12.2018;13:00;20,878; ;58,783;;147,228;;0,41055;E;6,60;;1019,5;;84,7;;
28.12.2018;14:00;21,728; ;75,204;;178,130;;0,44683;E;6,48;;1019,8;;83,7;;
28.12.2018;15:00;22,457; ;67,505;;169,636;;0,46412;E;6,52;;1020,2;;84,4;;
28.12.2018;16:00;23,259; ;73,151;;174,975;;0,49975;E;6,42;;1020,5;;85,8;;
28.12.2018;17:00;24,071; ;69,688;;179,881;;0,52141;E;6,35;;1020,8;;86,2;;
28.12.2018;18:00;24,796; ;68,420;;152,440;;0,53432;E;6,41;;1021,3;;85,9;;
28.12.2018;19:00;25,859; ;65,945;;144,102;;0,54860;E;6,03;;1021,7;;87,7;;
28.12.2018;20:00;26,959; ;65,486;;138,992;;0,54433;E;5,54;;1022,3;;90,3;;
28.12.2018;21:00;28,010; ;62,170;;122,551;;0,52438;E;5,53;;1022,0;;92,7;;
28.12.2018;22:00;28,944; ;60,051;;118,420;;0,52106;E;5,55;;1022,1;;93,1;;
28.12.2018;23:00;29,952; ;56,530;;104,346;;0,51628;E;5,45;;1022,3;;91,2;;
29.12.2018;00:00;30,979; ;;*;;*;0,49803;E;5,29;;1022,3;;94,6;;
29.12.2018;01:00;31,767; ;53,389;;81,831;;0,49248;E;5,26;;1022,2;;97,1;;
29.12.2018;02:00;32,233; ;52,476;;74,637;;0,48977;E;5,23;;1021,9;;96,6;;
29.12.2018;03:00;32,660; ;50,351;;65,804;;0,48572;E;5,31;;1022,0;;96,8;;
29.12.2018;04:00;33,116; ;46,015;;59,707;;0,48279;E;5,39;;1022,0;;97,0;;
29.12.2018;05:00;33,546; ;44,348;;53,552;;0,47919;E;5,51;;1021,6;;94,2;;
29.12.2018;06:00;33,796; ;47,256;;71,743;;0,47611;E;5,58;;1021,6;;94,1;;
29.12.2018;07:00;33,912; ;48,471;;92,276;;0,48312;E;5,56;;1021,7;;95,0;;
29.12.2018;08:00;33,859; ;45,815;;74,068;;0,48538;E;6,14;;1021,9;;94,4;;
29.12.2018;09:00;33,670; ;47,288;;87,892;;0,47876;E;6,21;;1022,0;;96,7;;
29.12.2018;10:00;33,228; ;47,181;;99,852;;0,47484;E;6,49;;1021,8;;95,3;;
29.12.2018;11:00;32,725; ;50,569;;122,722;;0,48287;E;6,77;;1021,3;;93,6;;
29.12.2018;12:00;32,225; ;49,144;;123,155;;0,50567;E;7,56;;1020,4;;88,5;;
29.12.2018;13:00;31,630; ;49,836;;123,949;;0,54960;E;7,62;;1019,7;;85,4;;
29.12.2018;14:00;31,302; ;59,834;;144,678;;0,57541;E;7,55;;1019,2;;85,2;;
29.12.2018;15:00;31,259; ;64,465;;127,871;;0,58270;E;7,78;;1018,5;;86,7;;
29.12.2018;16:00;30,881; ;47,782;;92,948;;0,58347;E;8,11;;1017,1;;82,6;;
29.12.2018;17:00;30,253; ;49,121;;88,864;;0,58542;E;7,98;;1016,4;;84,6;;
29.12.2018;18:00;29,592; ;47,529;;97,030;;0,58799;E;7,22;;1015,5;;92,9;;
29.12.2018;19:00;28,355; ;38,232;;69,508;;0,56683;E;7,27;;1014,7;;93,4;;
29.12.2018;20:00;27,122; ;30,448;;51,284;;0,53476;E;7,53;;1013,4;;93,3;;
29.12.2018;21:00;26,127; ;27,396;;48,383;;0,48609;E;7,80;;1012,5;;94,1;;
29.12.2018;22:00;25,054; ;22,642;;39,483;;0,45026;E;8,10;;1012,0;;93,2;;
29.12.2018;23:00;23,588; ;13,129;;22,253;;0,40735;E;7,44;;1012,2;;94,4;;
30.12.2018;00:00;21,952; ;12,273;;23,115;;0,37987;E;7,05;;1012,3;;98,0;;
30.12.2018;01:00;20,432; ;;*;;*;0,34582;E;7,04;;1012,5;;99,0;;
30.12.2018;02:00;19,171; ;7,501;;11,636;;0,30319;E;7,30;;1013,0;;99,5;;
30.12.2018;03:00;17,993; ;6,424;;8,924;;0,27138;E;7,50;;1014,3;;95,7;;
30.12.2018;04:00;16,850; ;6,699;;8,073;;0,23903;E;7,31;;1016,2;;87,2;;
30.12.2018;05:00;15,887; ;5,886;;7,291;;0,20738;E;7,35;;1017,2;;81,6;;
30.12.2018;06:00;15,100; ;6,653;;8,719;;0,17566;E;7,17;;1018,2;;81,8;;
30.12.2018;07:00;14,369; ;6,873;;8,757;;0,15970;E;7,16;;1019,3;;82,5;;
30.12.2018;08:00;13,756; ;8,094;;11,515;;0,14485;E;7,00;;1020,3;;85,2;;
30.12.2018;09:00;13,240; ;10,011;;15,343;;0,14043;E;6,88;;1020,9;;87,5;;
30.12.2018;10:00;12,793; ;13,097;;20,414;;0,14655;E;6,99;;1021,4;;87,0;;
30.12.2018;11:00;12,305; ;15,267;;27,210;;0,14867;E;7,46;;1021,6;;83,6;;
30.12.2018;12:00;11,880; ;17,580;;31,390;;0,15767;E;7,94;;1021,8;;83,7;;
30.12.2018;13:00;11,491; ;18,894;;34,929;;0,17105;E;8,11;;1021,7;;84,3;;
30.12.2018;14:00;11,003; ;23,783;;42,007;;0,18884;E;8,31;;1021,9;;83,4;;
30.12.2018;15:00;10,251; ;25,830;;48,884;;0,20712;E;8,24;;1022,3;;83,8;;
30.12.2018;16:00;9,846; ;31,489;;60,326;;0,22468;E;8,22;;1022,1;;83,4;;
30.12.2018;17:00;9,629; ;32,126;;58,282;;0,23763;E;8,15;;1022,6;;83,1;;
30.12.2018;18:00;9,504; ;39,293;;70,922;;0,24897;E;8,10;;1022,9;;83,4;;
30.12.2018;19:00;9,695; ;32,094;;56,541;;0,26869;E;7,89;;1023,2;;84,7;;
30.12.2018;20:00;9,890; ;33,884;;64,678;;0,28393;E;7,74;;1023,7;;86,7;;
30.12.2018;21:00;10,014; ;38,465;;72,486;;0,30094;E;7,55;;1023,5;;88,6;;
30.12.2018;22:00;10,211; ;29,444;;48,658;;0,30560;E;7,28;;1023,3;;90,3;;
30.12.2018;23:00;10,753; ;41,021;;73,813;;0,31530;E;7,03;;1023,3;;91,0;;
31.12.2018;00:00;11,437; ;31,790;;51,532;;0,31856;E;7,08;;1023,4;;91,2;;
31.12.2018;01:00;12,250; ;29,002;;46,309;;0,32054;E;7,17;;1023,3;;92,7;;
31.12.2018;02:00;13,107; ;;*;;*;0,30899;E;7,15;;1023,1;;94,6;;
31.12.2018;03:00;13,907; ;21,800;;28,542;;0,29408;E;7,27;;1023,3;;94,3;;
31.12.2018;04:00;15,012; ;18,873;;23,919;;0,28371;E;7,30;;1023,3;;97,3;;
31.12.2018;05:00;15,780; ;17,901;;32,659;;0,26442;E;7,29;;1023,0;;98,7;;
31.12.2018;06:00;16,283; ;24,407;;50,336;;0,25054;E;7,33;;1023,1;;98,6;;
31.12.2018;07:00;16,600; ;27,472;;58,254;;0,25157;E;7,36;;1023,3;;99,5;;
31.12.2018;08:00;16,647; ;34,852;;73,605;;0,25530;E;7,50;;1023,6;;100,0;;
31.12.2018;09:00;16,708; ;33,770;;77,433;;0,26502;E;7,76;;1024,0;;100,0;;
31.12.2018;10:00;16,888; ;40,140;;95,410;;0,28513;E;8,07;;1024,4;;100,0;;
31.12.2018;11:00;17,013; ;42,945;;108,754;;0,31480;E;8,42;;1024,4;;100,0;;
31.12.2018;12:00;17,144; ;42,583;;100,678;;0,33426;E;8,66;;1024,3;;99,7;;
31.12.2018;13:00;17,240; ;43,433;;103,679;;0,35247;E;8,99;;1023,9;;98,3;;
31.12.2018;14:00;17,258; ;41,275;;94,831;;0,37225;E;8,95;;1023,7;;98,0;;
31.12.2018;15:00;17,327; ;41,211;;90,419;;0,36570;E;9,03;;1023,7;;98,7;;
31.12.2018;16:00;17,434; ;43,564;;90,973;;0,37100;E;9,23;;1023,7;;98,5;;
31.12.2018;17:00;17,567; ;39,741;;82,221;;0,37168;E;9,33;;1023,7;;96,5;;
31.12.2018;18:00;17,825; ;41,741;;90,296;;0,39265;E;9,31;;1023,6;;95,3;;
31.12.2018;19:00;18,215; ;33,563;;62,915;;0,36931;E;9,30;;1023,3;;94,3;;
31.12.2018;20:00;18,790; ;29,824;;58,073;;0,35813;E;9,27;;1023,3;;94,0;;
31.12.2018;21:00;19,274; ;27,724;;57,905;;0,34415;E;9,24;;1023,3;;93,0;;
31.12.2018;22:00;19,606; ;21,243;;37,089;;0,32957;E;9,14;;1023,1;;91,5;;
31.12.2018;23:00;19,644; ;18,854;;31,206;;0,31229;E;8,90;;1022,7;;88,3;;
01.01.2019;00:00;19,875; ;18,143;;28,352;;0,28968;E;8,87;;1022,0;;86,9;;
01.01.2019;01:00;30,338; ;29,926;;73,980;;0,27688;E;8,92;;1021,2;;83,6;;
01.01.2019;02:00;33,759; ;20,126;;33,996;;0,23203;E;8,57;;1020,4;;89,8;;
01.01.2019;03:00;34,906; ;;*;;*;0,22320;E;8,02;;1019,7;;92,6;;
01.01.2019;04:00;35,011; ;12,908;;20,412;;0,20635;E;7,93;;1018,9;;90,6;;
01.01.2019;05:00;35,086; ;11,546;;18,968;;0,19100;E;7,93;;1017,9;;87,2;;
01.01.2019;06:00;35,364; ;9,266;;15,314;;0,17963;E;7,83;;1016,9;;86,1;;
01.01.2019;07:00;36,647; ;7,766;;12,167;;0,17288;E;7,45;;1016,0;;92,0;;
