Lufthygienisches ‹berwachungssystem Niedersachsen;
Jadebusen;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;∞C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m≤;Status;
28.12.2018;01:00;21,390; ;36,280;;38,051;;3,255;E;5,96;;1023,4;;247,4;;3,60;;100,0;;0;;0,3;;
28.12.2018;02:00;21,559; ;36,863;;39,370;;2,952;E;6,03;;1023,7;;242,0;;2,83;;100,0;;0;;0,2;;
28.12.2018;03:00;21,521; ;35,636;;37,152;;5,188;;6,22;;1024,0;;248,5;;2,61;;100,0;;0;;0,0;;
28.12.2018;04:00;21,456; ;34,547;;35,469;;6,215;;6,32;;1024,0;;254,9;;2,73;;100,0;;0;;0,3;;
28.12.2018;05:00;21,462; ;;*;;*;;*;6,35;;1024,0;;255,6;;2,50;;100,0;;3;;0,4;;
28.12.2018;06:00;21,465; ;24,435;;25,693;;15,931;;6,59;;1024,1;;265,5;;2,65;;100,0;;0;;0,4;;
28.12.2018;07:00;21,352; ;15,071;;16,781;;27,020;;6,79;;1024,4;;269,4;;2,42;;100,0;;0;;0,4;;
28.12.2018;08:00;20,936; ;7,860;;9,279;;38,060;;6,92;;1024,9;;268,5;;2,41;;100,0;;0;;0,4;;
28.12.2018;09:00;20,345; ;10,010;;14,549;;37,050;;6,98;;1025,3;;262,6;;2,66;;100,0;;0;;1,4;;
28.12.2018;10:00;19,884; ;13,890;;18,328;;28,339;;7,04;;1025,7;;254,9;;2,45;;100,0;;0;;10,6;;
28.12.2018;11:00;19,545; ;10,416;;14,543;;31,592;;7,19;;1025,9;;255,8;;2,75;;100,0;;0;;24,4;;
28.12.2018;12:00;19,135; ;11,038;;16,251;;31,817;;7,47;;1026,1;;261,5;;2,83;;100,0;;0;;39,0;;
28.12.2018;13:00;18,552; ;8,583;;11,038;;38,982;;7,66;;1025,8;;255,6;;3,29;;100,0;;0;;32,3;;
28.12.2018;14:00;17,955; ;7,693;;10,562;;42,320;;7,76;;1025,8;;256,3;;4,35;;99,8;;0;;40,6;;
28.12.2018;15:00;17,520; ;9,021;;12,032;;38,988;;7,54;;1026,0;;257,3;;4,24;;99,7;;0;;24,1;;
28.12.2018;16:00;17,176; ;11,164;;13,937;;34,396;;7,19;;1026,4;;244,2;;4,00;;100,0;;0;;8,8;;
28.12.2018;17:00;16,787; ;17,785;;20,485;;23,675;;6,95;;1026,7;;235,9;;2,80;;100,0;;0;;0,8;;
28.12.2018;18:00;16,357; ;19,971;;22,235;;22,749;;6,91;;1027,1;;237,1;;3,22;;99,8;;0;;0,1;;
28.12.2018;19:00;16,134; ;36,350;;44,399;;5,354;;6,80;;1027,2;;224,5;;3,27;;99,9;;0;;0,3;;
28.12.2018;20:00;16,056; ;38,414;;53,741;;1,875;E;6,71;;1027,5;;226,9;;3,49;;100,0;;1;;0,2;;
28.12.2018;21:00;15,992; ;38,422;;61,152;;1,732;E;6,46;;1027,4;;218,5;;3,46;;100,0;;0;;0,0;;
28.12.2018;22:00;15,996; ;36,372;;66,394;;1,793;E;6,26;;1027,7;;220,9;;3,08;;100,0;;4;;0,0;;
28.12.2018;23:00;16,105; ;37,381;;66,398;;1,612;E;6,25;;1027,8;;238,0;;3,12;;100,0;;19;;0,2;;
29.12.2018;00:00;16,100; ;35,915;;43,489;;5,430;;6,59;;1027,5;;247,2;;3,05;;100,0;;0;;0,1;;
29.12.2018;01:00;15,981; ;26,158;;27,452;;13,872;;6,80;;1027,2;;232,4;;2,60;;100,0;;0;;0,1;;
29.12.2018;02:00;15,696; ;16,434;;17,223;;25,210;;6,96;;1027,4;;233,2;;2,41;;100,0;;0;;0,3;;
29.12.2018;03:00;15,389; ;8,055;;8,671;;35,129;;7,32;;1027,6;;236,8;;3,26;;100,0;;0;;0,0;;
29.12.2018;04:00;15,145; ;8,530;;8,948;;31,277;;7,40;;1027,6;;242,9;;3,66;;100,0;;0;;0,0;;
29.12.2018;05:00;14,965; ;7,709;;8,109;;30,777;;7,53;;1027,2;;247,7;;3,90;;100,0;;3;;0,2;;
29.12.2018;06:00;14,780; ;7,092;;8,023;;32,590;;7,71;;1026,9;;252,6;;3,42;;100,0;;0;;0,0;;
29.12.2018;07:00;14,449; ;6,592;;7,076;;37,075;;7,70;;1026,9;;252,5;;3,36;;100,0;;0;;0,0;;
29.12.2018;08:00;14,290; ;7,963;;8,712;;38,501;;7,71;;1027,0;;248,7;;4,09;;100,0;;0;;0,1;;
29.12.2018;09:00;14,355; ;7,760;;8,460;;35,741;;7,93;;1026,5;;236,6;;4,48;;100,0;;0;;3,1;;
29.12.2018;10:00;14,446; ;8,022;;9,111;;33,681;;8,01;;1025,8;;229,4;;5,14;;99,6;;0;;21,2;;
29.12.2018;11:00;14,549; ;7,035;;8,749;;34,287;;8,09;;1025,3;;231,8;;6,18;;98,5;;0;;35,5;;
29.12.2018;12:00;14,964; ;11,672;;13,691;;32,275;;8,17;;1024,1;;225,9;;6,74;;96,4;;0;;53,0;;
29.12.2018;13:00;15,431; ;16,097;;19,018;;30,418;;8,52;;1023,1;;230,5;;8,31;;93,7;;0;;62,2;;
29.12.2018;14:00;15,777; ;19,652;;22,370;;28,413;;8,46;;1021,8;;227,4;;7,91;;95,5;;3;;25,9;;
29.12.2018;15:00;15,927; ;19,587;;21,314;;32,329;;8,29;;1020,5;;229,1;;8,02;;99,0;;27;;8,4;;
29.12.2018;16:00;15,742; ;19,065;;20,549;;31,698;;8,14;;1019,2;;228,8;;8,21;;100,0;;0;;7,2;;
29.12.2018;17:00;15,414; ;12,006;;13,134;;41,874;;8,53;;1018,7;;240,8;;7,82;;99,8;;37;;1,0;;
29.12.2018;18:00;15,086; ;6,191;;6,934;;53,908;;9,25;;1017,8;;255,2;;8,20;;97,6;;15;;0,4;;
29.12.2018;19:00;14,594; ;4,451;;5,258;;61,508;;9,11;;1017,1;;270,0;;8,83;;96,7;;4;;0,3;;
29.12.2018;20:00;14,034; ;3,380;;4,246;;68,428;;7,79;;1017,3;;279,0;;7,71;;99,1;;19;;0,7;;
29.12.2018;21:00;13,402; ;2,783;;3,387;;69,214;;7,34;;1017,2;;276,6;;7,05;;99,3;;0;;0,6;;
29.12.2018;22:00;12,850; ;3,447;;4,021;;68,255;;7,54;;1017,3;;281,0;;6,67;;98,9;;1;;0,8;;
29.12.2018;23:00;12,245; ;;*;;*;;*;7,56;;1017,9;;291,7;;5,65;;100,0;;35;;0,6;;
30.12.2018;00:00;11,718; ;3,631;;3,892;;60,784;;7,92;;1019,0;;308,0;;5,87;;100,0;;58;;0,4;;
30.12.2018;01:00;11,413; ;2,852;;3,087;;72,173;;7,72;;1020,8;;326,3;;7,06;;94,8;;5;;0,7;;
30.12.2018;02:00;11,370; ;2,876;;3,119;;77,870;;7,57;;1022,7;;316,9;;7,08;;87,8;;0;;0,0;;
30.12.2018;03:00;11,442; ;3,461;;3,671;;78,967;;7,40;;1024,0;;318,9;;6,82;;86,2;;0;;0,0;;
30.12.2018;04:00;11,492; ;3,792;;4,001;;78,180;;7,42;;1025,1;;318,4;;5,71;;86,1;;0;;0,0;;
30.12.2018;05:00;11,299; ;3,007;;3,236;;79,698;;7,63;;1025,7;;314,7;;5,69;;85,4;;0;;0,0;;
30.12.2018;06:00;11,023; ;2,511;;2,734;;79,355;;7,60;;1026,4;;309,8;;5,66;;87,1;;0;;0,0;;
30.12.2018;07:00;10,993; ;5,061;;5,278;;75,223;;7,48;;1027,2;;305,2;;4,53;;90,1;;1;;0,0;;
30.12.2018;08:00;10,974; ;3,099;;3,335;;77,014;;7,41;;1027,7;;302,3;;3,84;;89,1;;0;;0,0;;
30.12.2018;09:00;10,873; ;3,474;;3,970;;74,510;;7,14;;1028,0;;289,0;;3,10;;92,7;;1;;1,3;;
30.12.2018;10:00;10,673; ;4,896;;5,581;;71,278;;7,52;;1028,3;;287,6;;3,22;;92,7;;0;;24,8;;
30.12.2018;11:00;10,484; ;6,017;;7,103;;70,108;;7,98;;1028,6;;282,8;;3,84;;91,8;;0;;74,9;;
30.12.2018;12:00;10,122; ;5,785;;6,910;;69,825;;8,32;;1028,9;;281,9;;4,23;;91,6;;0;;86,4;;
30.12.2018;13:00;9,832; ;4,536;;5,295;;70,224;;8,54;;1029,1;;282,4;;4,48;;91,3;;0;;91,4;;
30.12.2018;14:00;9,586; ;4,995;;6,333;;69,064;;8,80;;1028,9;;283,7;;4,04;;89,7;;0;;124,7;;
30.12.2018;15:00;9,438; ;5,837;;7,747;;67,141;;8,45;;1029,0;;281,2;;4,16;;90,9;;0;;66,6;;
30.12.2018;16:00;9,597; ;6,956;;9,050;;64,837;;8,25;;1029,0;;278,3;;3,81;;92,6;;0;;36,0;;
30.12.2018;17:00;9,846; ;10,259;;12,245;;55,973;;7,26;;1029,2;;270,9;;3,01;;94,5;;0;;1,1;;
30.12.2018;18:00;10,144; ;10,044;;11,216;;48,797;;6,67;;1029,4;;255,3;;2,54;;98,0;;0;;0,0;;
30.12.2018;19:00;10,466; ;10,611;;12,194;;45,679;;6,47;;1029,7;;247,1;;1,95;;99,6;;0;;0,0;;
30.12.2018;20:00;10,714; ;10,006;;11,878;;42,406;;6,33;;1029,7;;228,4;;1,87;;100,0;;0;;0,0;;
