Datum;Uhrzeit;ug/m
28.12.18;01:00;45,602
28.12.18;02:00;43,345
28.12.18;03:00;42,888
28.12.18;04:00;
28.12.18;05:00;42,848
28.12.18;06:00;40,862
28.12.18;07:00;50,347
28.12.18;08:00;50,484
28.12.18;09:00;59,23
28.12.18;10:00;59,48
28.12.18;11:00;55,082
28.12.18;12:00;59,513
28.12.18;13:00;54,062
28.12.18;14:00;53,338
28.12.18;15:00;71,153
28.12.18;16:00;65,651
28.12.18;17:00;66,938
28.12.18;18:00;55,546
28.12.18;19:00;52,432
28.12.18;20:00;57,545
28.12.18;21:00;47,594
28.12.18;22:00;54,236
28.12.18;23:00;43,714
29.12.18;00:00;47,848
29.12.18;01:00;46,175
29.12.18;02:00;41,877
29.12.18;03:00;40,682
29.12.18;04:00;42,707
29.12.18;05:00;
29.12.18;06:00;43,669
29.12.18;07:00;39,174
29.12.18;08:00;36,725
29.12.18;09:00;40,745
29.12.18;10:00;32,056
29.12.18;11:00;44,494
29.12.18;12:00;41,729
29.12.18;13:00;36,891
29.12.18;14:00;50,304
29.12.18;15:00;53,873
29.12.18;16:00;50,235
29.12.18;17:00;40,455
29.12.18;18:00;37,228
29.12.18;19:00;23,504
29.12.18;20:00;19,632
29.12.18;21:00;15,394
29.12.18;22:00;20,618
29.12.18;23:00;13,298
30.12.18;00:00;11,611
30.12.18;01:00;5,383
30.12.18;02:00;6,273
30.12.18;03:00;7,286
30.12.18;04:00;6,312
30.12.18;05:00;7,459
30.12.18;06:00;10,986
30.12.18;07:00;7,777
30.12.18;08:00;7,292
30.12.18;09:00;17,264
30.12.18;10:00;17,939
30.12.18;11:00;20,013
30.12.18;12:00;22,379
30.12.18;13:00;30,69
30.12.18;14:00;29,931
30.12.18;15:00;42,899
30.12.18;16:00;42,004
30.12.18;17:00;46,747
30.12.18;18:00;68,791
30.12.18;19:00;60,862
30.12.18;20:00;52,343
30.12.18;21:00;39,701
30.12.18;22:00;37,482
30.12.18;23:00;
31.12.18;00:00;39,833
31.12.18;01:00;25,388
31.12.18;02:00;22,556
31.12.18;03:00;19,969
31.12.18;04:00;19,404
31.12.18;05:00;19,022
31.12.18;06:00;14,378
31.12.18;07:00;19,02
31.12.18;08:00;27,888
31.12.18;09:00;28,828
31.12.18;10:00;34,768
31.12.18;11:00;54,802
31.12.18;12:00;41,71
31.12.18;13:00;36,659
31.12.18;14:00;43,597
31.12.18;15:00;50,535
31.12.18;16:00;34,099
31.12.18;17:00;24,47
31.12.18;18:00;39,875
31.12.18;19:00;37,529
31.12.18;20:00;25,56
31.12.18;21:00;26,819
31.12.18;22:00;31,216
31.12.18;23:00;23,643
01.01.19;00:00;
01.01.19;01:00;36,517
01.01.19;02:00;26,269
01.01.19;03:00;22,402
01.01.19;04:00;16,199
01.01.19;05:00;16,309
01.01.19;06:00;15,826
01.01.19;07:00;14,759
01.01.19;08:00;13,537
01.01.19;09:00;9,954
01.01.19;10:00;6,352
01.01.19;11:00;7,288
01.01.19;12:00;9,33
01.01.19;13:00;7,792
01.01.19;14:00;8,711
01.01.19;15:00;8,033
01.01.19;16:00;11,72
01.01.19;17:00;10,129
01.01.19;18:00;10,047
01.01.19;19:00;9,717
01.01.19;20:00;11,796
01.01.19;21:00;7,608
01.01.19;22:00;7,678
01.01.19;23:00;11,419
02.01.19;00:00;4,73
02.01.19;01:00;
02.01.19;02:00;5,437
02.01.19;03:00;4,441
02.01.19;04:00;5,66
02.01.19;05:00;5,38
02.01.19;06:00;4,971
02.01.19;07:00;10,991
02.01.19;08:00;35,264
02.01.19;09:00;34,295
02.01.19;10:00;28,984
02.01.19;11:00;19,918
02.01.19;12:00;
02.01.19;13:00;
02.01.19;14:00;
02.01.19;15:00;21,177
02.01.19;16:00;30,03
02.01.19;17:00;42,379
02.01.19;18:00;68,273
02.01.19;19:00;70,358
02.01.19;20:00;80,803
02.01.19;21:00;78,472
02.01.19;22:00;70,503
02.01.19;23:00;64,454
03.01.19;00:00;64,17
03.01.19;01:00;46,493
03.01.19;02:00;50,901
