Lufthygienisches Überwachungssystem Niedersachsen;
Osnabrück;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
Datum;Uhrzeit;µg/m³;Status;µg/m³;Status;µg/m³;Status;µg/m³;Status;°C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m²;Status;
28.12.2018;01:00;16,267; ;56,215;;69,678;;;*;2,08;;1012,8;;268,7;;0,72;;72,1;;0;;0,0;;
28.12.2018;02:00;16,491; ;55,904;;89,729;;2,373;E;1,18;;1013,0;;307,2;;0,44;;77,0;;0;;0,0;;
28.12.2018;03:00;16,727; ;55,152;;94,562;;2,502;E;0,64;;1013,5;;272,4;;0,24;;80,6;;0;;0,0;;
28.12.2018;04:00;16,984; ;;*;;*;2,170;E;1,16;;1013,9;;270,3;;0,40;;79,7;;0;;0,9;;
28.12.2018;05:00;17,261; ;53,678;;80,560;;2,048;E;1,66;;1013,9;;248,0;;0,27;;77,9;;0;;0,1;;
28.12.2018;06:00;17,571; ;53,472;;86,837;;1,801;E;1,69;;1013,9;;228,8;;0,60;;78,6;;0;;0,1;;
28.12.2018;07:00;17,911; ;53,773;;91,630;;1,964;E;2,03;;1014,1;;233,1;;0,82;;76,9;;0;;0,8;;
28.12.2018;08:00;18,265; ;54,367;;103,666;;2,074;E;2,30;;1014,5;;230,7;;1,02;;78,8;;0;;0,8;;
28.12.2018;09:00;18,557; ;54,252;;105,157;;2,029;E;2,38;;1015,0;;251,1;;0,57;;80,9;;0;;1,1;;
28.12.2018;10:00;18,916; ;53,295;;111,354;;2,331;E;2,44;;1015,4;;258,9;;0,55;;82,1;;0;;5,3;;
28.12.2018;11:00;19,286; ;52,886;;115,834;;2,865;E;2,61;;1015,8;;253,3;;0,49;;81,6;;0;;12,2;;
28.12.2018;12:00;19,919; ;53,226;;121,970;;3,234;E;2,82;;1015,7;;243,9;;0,74;;80,3;;0;;18,9;;
28.12.2018;13:00;20,703; ;52,151;;124,408;;3,258;E;2,98;;1015,5;;244,6;;0,80;;81,3;;0;;21,5;;
28.12.2018;14:00;21,606; ;50,188;;139,244;;2,817;E;2,99;;1015,8;;235,1;;0,61;;83,8;;0;;18,9;;
28.12.2018;15:00;22,505; ;48,889;;140,165;;2,524;E;2,85;;1015,9;;249,4;;0,55;;86,5;;0;;13,6;;
28.12.2018;16:00;23,427; ;49,091;;132,763;;2,126;E;2,95;;1016,3;;243,7;;0,62;;87,2;;0;;4,9;;
28.12.2018;17:00;24,337; ;47,603;;118,538;;2,056;E;2,76;;1016,8;;238,1;;0,73;;87,8;;2;;0,6;;
28.12.2018;18:00;25,420; ;45,786;;112,584;;2,097;E;2,64;;1017,2;;242,3;;0,86;;89,6;;0;;0,3;;
28.12.2018;19:00;26,594; ;44,644;;113,587;;1,919;E;2,55;;1017,7;;236,3;;0,91;;91,6;;9;;0,1;;
28.12.2018;20:00;28,086; ;42,111;;114,032;;2,177;E;2,37;;1017,8;;234,6;;0,89;;95,4;;36;;0,0;;
28.12.2018;21:00;29,705; ;41,270;;111,270;;2,193;E;2,28;;1017,8;;237,2;;0,98;;97,3;;26;;0,0;;
28.12.2018;22:00;31,174; ;40,960;;99,874;;1,934;E;2,40;;1017,8;;238,7;;1,17;;98,1;;21;;0,0;;
28.12.2018;23:00;32,397; ;39,830;;88,970;;1,756;E;2,64;;1018,2;;254,5;;0,75;;98,4;;46;;0,1;;
29.12.2018;00:00;33,446; ;37,907;;75,305;;1,811;E;2,82;;1018,2;;254,8;;0,71;;99,8;;42;;0,3;;
29.12.2018;01:00;34,676; ;35,841;;74,215;;1,781;E;2,96;;1018,0;;243,0;;0,54;;100,0;;23;;0,3;;
29.12.2018;02:00;35,821; ;36,513;;73,421;;;*;3,11;;1017,7;;233,0;;0,83;;100,0;;0;;0,1;;
29.12.2018;03:00;36,947; ;37,014;;66,773;;1,550;E;3,35;;1018,2;;251,5;;0,78;;100,0;;7;;0,3;;
29.12.2018;04:00;37,647; ;35,684;;64,824;;1,786;E;3,50;;1018,2;;244,3;;0,85;;100,0;;30;;0,3;;
29.12.2018;05:00;38,486; ;;*;;*;1,695;E;3,63;;1018,0;;244,8;;0,57;;100,0;;29;;0,4;;
29.12.2018;06:00;39,493; ;34,720;;63,552;;1,527;E;3,73;;1017,5;;239,9;;0,80;;100,0;;28;;0,3;;
29.12.2018;07:00;40,174; ;33,306;;61,698;;1,550;E;3,90;;1017,6;;239,6;;0,68;;100,0;;25;;0,3;;
29.12.2018;08:00;40,921; ;33,134;;63,101;;1,589;E;3,94;;1017,8;;233,9;;0,79;;100,0;;10;;0,4;;
29.12.2018;09:00;41,557; ;33,201;;60,552;;1,565;E;4,18;;1018,1;;247,7;;0,75;;100,0;;0;;2,5;;
29.12.2018;10:00;41,937; ;32,932;;58,174;;2,453;E;4,59;;1017,6;;241,1;;1,02;;100,0;;0;;11,2;;
29.12.2018;11:00;42,360; ;31,677;;59,550;;3,919;E;4,69;;1017,1;;231,6;;1,61;;100,0;;0;;25,5;;
29.12.2018;12:00;42,723; ;30,429;;54,303;;5,285;;4,83;;1016,2;;237,3;;1,45;;100,0;;0;;33,7;;
29.12.2018;13:00;42,988; ;31,599;;47,319;;6,758;;5,17;;1015,4;;244,6;;1,28;;100,0;;0;;28,2;;
29.12.2018;14:00;43,071; ;29,837;;39,061;;12,194;;5,66;;1014,7;;246,1;;1,25;;99,9;;0;;30,4;;
29.12.2018;15:00;42,788; ;28,979;;33,615;;17,627;;5,98;;1013,5;;235,6;;1,72;;97,5;;0;;20,6;;
29.12.2018;16:00;42,275; ;29,045;;31,631;;19,148;;6,00;;1012,2;;239,6;;1,85;;98,3;;25;;8,2;;
29.12.2018;17:00;41,168; ;22,538;;23,410;;27,251;;6,04;;1011,8;;250,6;;1,66;;100,0;;53;;0,7;;
29.12.2018;18:00;39,750; ;16,515;;17,113;;32,554;;6,24;;1011,1;;260,1;;1,81;;100,0;;39;;0,4;;
29.12.2018;19:00;38,295; ;16,491;;17,025;;31,583;;6,60;;1010,4;;261,2;;1,92;;100,0;;20;;0,5;;
29.12.2018;20:00;36,684; ;14,956;;15,482;;35,196;;7,23;;1009,7;;267,7;;2,01;;100,0;;13;;0,5;;
29.12.2018;21:00;34,780; ;10,125;;10,797;;52,591;;7,94;;1009,6;;299,0;;3,11;;96,1;;0;;0,0;;
29.12.2018;22:00;32,874; ;6,214;;6,839;;68,335;;7,22;;1009,9;;307,7;;3,86;;95,1;;26;;0,0;;
29.12.2018;23:00;31,181; ;5,405;;5,809;;68,684;;6,73;;1009,9;;297,5;;3,58;;94,9;;23;;0,0;;
30.12.2018;00:00;29,635; ;5,396;;5,860;;68,209;;6,72;;1010,2;;306,5;;3,86;;97,2;;43;;0,0;;
30.12.2018;01:00;28,005; ;7,036;;7,900;;67,121;;6,77;;1011,0;;316,4;;4,37;;98,0;;22;;0,1;;
30.12.2018;02:00;26,334; ;5,953;;6,542;;71,976;;7,13;;1012,4;;327,0;;5,56;;90,6;;0;;0,0;;
30.12.2018;03:00;24,633; ;5,716;;6,128;;;*;7,27;;1013,9;;328,2;;5,67;;83,7;;0;;0,2;;
30.12.2018;04:00;23,395; ;6,575;;7,083;;74,362;;7,05;;1014,9;;326,5;;3,95;;83,3;;0;;0,0;;
30.12.2018;05:00;22,074; ;7,650;;8,258;;74,641;;6,95;;1015,8;;325,1;;3,85;;83,4;;0;;0,0;;
30.12.2018;06:00;20,598; ;8,485;;9,180;;72,424;;6,84;;1016,4;;320,0;;3,12;;85,8;;0;;0,1;;
30.12.2018;07:00;19,367; ;9,689;;10,389;;69,979;;6,83;;1017,2;;319,2;;2,72;;87,1;;0;;0,1;;
30.12.2018;08:00;18,014; ;9,595;;10,158;;67,327;;6,72;;1017,8;;307,4;;2,11;;89,3;;0;;0,1;;
30.12.2018;09:00;16,777; ;8,512;;8,963;;65,096;;6,56;;1018,2;;298,5;;1,94;;91,5;;7;;1,5;;
30.12.2018;10:00;15,774; ;9,131;;9,702;;63,474;;6,70;;1018,5;;305,3;;1,97;;92,9;;0;;18,9;;
30.12.2018;11:00;14,638; ;9,614;;10,336;;62,645;;7,01;;1018,6;;304,2;;1,77;;91,5;;0;;51,2;;
30.12.2018;12:00;13,455; ;10,088;;10,730;;60,730;;7,29;;1018,9;;294,0;;1,72;;91,8;;0;;48,4;;
30.12.2018;13:00;12,274; ;10,014;;10,807;;61,873;;7,77;;1018,7;;291,9;;1,82;;89,3;;0;;67,3;;
30.12.2018;14:00;11,137; ;9,260;;10,050;;67,039;;7,94;;1018,7;;300,0;;2,61;;86,4;;0;;72,4;;
30.12.2018;15:00;10,270; ;9,631;;10,374;;66,606;;7,90;;1018,7;;303,8;;2,34;;85,6;;0;;47,3;;
30.12.2018;16:00;9,617; ;12,244;;12,895;;60,364;;7,62;;1018,6;;290,7;;1,81;;87,3;;0;;16,5;;
30.12.2018;17:00;9,519; ;12,235;;12,621;;56,258;;7,12;;1018,6;;290,6;;1,78;;89,8;;0;;1,7;;
30.12.2018;18:00;9,608; ;11,692;;11,921;;52,747;;6,42;;1018,8;;266,7;;0,75;;93,6;;0;;0,1;;
30.12.2018;19:00;9,798; ;14,686;;15,026;;45,375;;6,69;;1018,9;;253,3;;0,73;;94,4;;0;;0,4;;
30.12.2018;20:00;10,007; ;18,379;;18,882;;33,141;;6,68;;1019,0;;234,0;;0,61;;98,2;;21;;0,1;;
30.12.2018;21:00;10,386; ;22,408;;23,176;;23,930;;6,59;;1018,9;;230,2;;0,67;;100,0;;60;;0,3;;
30.12.2018;22:00;10,780; ;20,424;;21,164;;23,729;;6,55;;1018,5;;226,9;;0,81;;100,0;;32;;0,3;;
30.12.2018;23:00;11,171; ;;*;;*;20,750;;6,59;;1018,3;;257,3;;1,15;;100,0;;0;;0,5;;
31.12.2018;00:00;11,653; ;19,566;;20,211;;17,491;;6,76;;1018,2;;265,4;;1,54;;100,0;;0;;0,6;;
31.12.2018;01:00;12,334; ;18,861;;19,447;;14,903;;6,92;;1018,5;;273,2;;1,64;;100,0;;0;;0,6;;
31.12.2018;02:00;12,998; ;17,888;;18,432;;15,243;;7,15;;1018,5;;273,9;;1,36;;100,0;;12;;0,6;;
31.12.2018;03:00;13,424; ;14,462;;14,892;;20,179;;7,30;;1018,5;;282,1;;0,90;;100,0;;19;;0,6;;
31.12.2018;04:00;13,594; ;9,717;;10,022;;;*;7,52;;1018,6;;297,2;;1,10;;100,0;;2;;0,6;;
31.12.2018;05:00;13,780; ;8,742;;8,997;;29,678;;7,70;;1018,5;;294,3;;0,99;;100,0;;0;;0,6;;
31.12.2018;06:00;13,933; ;8,080;;8,330;;30,024;;7,90;;1018,5;;282,5;;0,71;;100,0;;20;;0,6;;
31.12.2018;07:00;13,972; ;8,323;;8,593;;31,280;;8,03;;1018,6;;290,0;;0,77;;100,0;;21;;0,6;;
31.12.2018;08:00;14,056; ;12,085;;13,703;;28,708;;8,14;;1019,0;;299,4;;0,79;;100,0;;31;;0,6;;
31.12.2018;09:00;13,965; ;18,208;;20,260;;30,001;;8,12;;1019,6;;324,0;;1,58;;100,0;;21;;2,3;;
31.12.2018;10:00;13,741; ;16,777;;19,027;;29,844;;8,18;;1020,0;;320,3;;1,38;;100,0;;0;;13,2;;
31.12.2018;11:00;13,644; ;14,431;;16,300;;36,067;;8,30;;1020,2;;320,5;;1,55;;100,0;;15;;25,3;;
31.12.2018;12:00;13,778; ;14,500;;16,153;;34,508;;8,41;;1020,1;;290,9;;1,16;;100,0;;0;;34,9;;
31.12.2018;13:00;13,903; ;14,740;;16,313;;33,475;;8,60;;1019,8;;299,1;;1,03;;100,0;;0;;32,5;;
31.12.2018;14:00;14,002; ;13,310;;14,605;;34,239;;8,64;;1019,6;;288,5;;0,84;;100,0;;0;;35,6;;
31.12.2018;15:00;14,167; ;16,002;;18,108;;32,173;;8,78;;1019,6;;297,3;;0,99;;100,0;;0;;36,3;;
31.12.2018;16:00;14,289; ;14,137;;15,063;;32,921;;8,77;;1019,4;;280,1;;0,74;;100,0;;0;;16,8;;
31.12.2018;17:00;14,442; ;13,925;;14,498;;33,734;;8,64;;1019,7;;280,9;;0,93;;100,0;;0;;1,5;;
31.12.2018;18:00;14,635; ;12,848;;13,330;;35,508;;8,60;;1019,4;;273,8;;0,93;;100,0;;0;;0,5;;
31.12.2018;19:00;14,644; ;12,196;;12,887;;39,202;;8,52;;1019,3;;293,1;;1,40;;98,7;;0;;0,6;;
31.12.2018;20:00;14,454; ;11,466;;12,322;;45,787;;8,35;;1019,4;;295,3;;1,71;;95,9;;0;;0,4;;
31.12.2018;21:00;14,400; ;10,046;;10,398;;45,013;;8,13;;1019,1;;265,4;;1,11;;95,5;;0;;0,3;;
31.12.2018;22:00;14,514; ;9,318;;9,608;;47,363;;8,04;;1018,8;;270,9;;1,41;;93,7;;0;;0,3;;
31.12.2018;23:00;14,523; ;7,612;;7,911;;50,597;;7,92;;1018,4;;260,9;;1,19;;93,4;;3;;0,3;;
01.01.2019;00:00;14,632; ;;*;;*;48,532;;7,76;;1017,8;;276,7;;1,82;;94,6;;19;;0,0;;
01.01.2019;01:00;15,767; ;14,190;;16,111;;43,662;;7,40;;1017,4;;285,4;;1,99;;95,3;;12;;0,0;;
01.01.2019;02:00;15,877; ;7,752;;8,134;;47,871;;7,16;;1016,7;;265,7;;1,67;;96,5;;39;;0,0;;
01.01.2019;03:00;16,119; ;6,863;;7,111;;48,977;;6,75;;1016,1;;271,8;;1,75;;99,2;;47;;0,0;;
01.01.2019;04:00;16,524; ;5,697;;5,880;;52,119;;6,70;;1015,4;;266,1;;1,73;;96,7;;2;;0,0;;
01.01.2019;05:00;17,480; ;6,737;;6,960;;;*;6,87;;1014,5;;268,9;;1,95;;94,2;;0;;0,0;;
01.01.2019;06:00;18,645; ;7,193;;7,463;;49,922;;6,99;;1013,8;;276,4;;2,15;;91,8;;7;;0,0;;
01.01.2019;07:00;20,332; ;7,812;;8,133;;47,443;;6,61;;1013,1;;275,4;;2,13;;97,4;;58;;0,0;;
01.01.2019;08:00;21,926; ;8,116;;8,491;;45,980;;6,44;;1012,8;;275,8;;2,01;;99,9;;42;;0,1;;
01.01.2019;09:00;22,838; ;7,223;;7,463;;46,088;;6,46;;1012,5;;280,6;;2,01;;100,0;;60;;0,9;;
01.01.2019;10:00;23,070; ;6,448;;6,929;;49,340;;6,66;;1011,8;;281,0;;2,33;;100,0;;44;;8,4;;
01.01.2019;11:00;22,952; ;6,345;;6,702;;49,166;;6,98;;1011,9;;289,3;;2,26;;100,0;;49;;15,2;;
01.01.2019;12:00;22,662; ;8,883;;10,229;;57,183;;7,22;;1012,2;;318,7;;3,39;;97,4;;57;;39,4;;
01.01.2019;13:00;22,683; ;8,089;;9,431;;67,769;;7,35;;1011,9;;316,1;;3,61;;89,9;;40;;90,1;;
01.01.2019;14:00;22,746; ;6,883;;7,861;;68,648;;7,32;;1011,7;;312,0;;3,64;;81,7;;1;;62,5;;
01.01.2019;15:00;22,739; ;6,563;;7,293;;67,925;;7,40;;1011,8;;307,9;;3,51;;76,7;;0;;55,1;;
01.01.2019;16:00;22,712; ;7,149;;7,924;;66,483;;6,83;;1011,6;;308,6;;3,75;;80,5;;19;;12,8;;
01.01.2019;17:00;22,541; ;7,160;;7,985;;70,031;;5,45;;1012,1;;314,5;;3,77;;85,0;;17;;1,0;;
01.01.2019;18:00;22,359; ;8,225;;9,226;;70,510;;5,07;;1012,5;;317,1;;4,10;;84,7;;9;;0,0;;
