Lufthygienisches Überwachungssystem Niedersachsen;
Osnabrück (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;
Datum;Uhrzeit;µg/m³;Status;µg/m³;Status;µg/m³;Status;mg/m³;Status;°C;Status;hPa;Status;%;Status;
28.12.2018;01:00;25,241; ;;*;;*;0,95965; ;3,21;;1017,0;;68,7;;
28.12.2018;02:00;25,648; ;59,735;;153,352;;0,90444; ;2,59;;1017,2;;72,6;;
28.12.2018;03:00;26,125; ;54,595;;154,978;;0,85057; ;2,05;;1017,6;;76,4;;
28.12.2018;04:00;26,599; ;52,380;;145,700;;0,83560; ;1,93;;1017,9;;78,8;;
28.12.2018;05:00;27,030; ;56,969;;146,686;;0,79131; ;2,47;;1017,9;;75,3;;
28.12.2018;06:00;27,466; ;56,298;;166,578;;0,77837; ;2,39;;1018,0;;75,9;;
28.12.2018;07:00;27,937; ;59,154;;208,933;;0,75519; ;2,65;;1018,2;;75,2;;
28.12.2018;08:00;28,359; ;64,619;;251,450;;0,78875; ;2,89;;1018,6;;76,0;;
28.12.2018;09:00;28,736; ;66,255;;260,620;;0,79920; ;3,34;;1019,1;;75,8;;
28.12.2018;10:00;29,296; ;70,372;;273,832;;0,83498; ;3,35;;1019,5;;76,7;;
28.12.2018;11:00;29,901; ;69,657;;297,519;;0,89170; ;3,58;;1019,8;;76,7;;
28.12.2018;12:00;30,536; ;76,257;;330,196;;0,92667; ;3,86;;1019,8;;75,5;;
28.12.2018;13:00;31,270; ;78,011;;351,710;;1,00314; ;4,19;;1019,6;;74,9;;
28.12.2018;14:00;32,229; ;63,424;;280,214;;1,04670; ;4,15;;1019,8;;76,4;;
28.12.2018;15:00;33,163; ;69,277;;310,292;;1,11855; ;3,91;;1020,0;;79,2;;
28.12.2018;16:00;34,009; ;67,036;;309,309;;1,14214; ;4,01;;1020,4;;79,8;;
28.12.2018;17:00;34,859; ;71,042;;334,803;;1,18876; ;4,07;;1020,8;;80,4;;
28.12.2018;18:00;35,714; ;69,014;;326,424;;1,21974; ;3,95;;1021,3;;82,8;;
28.12.2018;19:00;36,773; ;65,838;;285,389;;1,22950; ;3,93;;1021,8;;85,6;;
28.12.2018;20:00;38,102; ;53,668;;240,619;;1,21199; ;3,55;;1021,9;;90,5;;
28.12.2018;21:00;39,568; ;51,942;;212,673;;1,17764; ;3,34;;1021,9;;92,7;;
28.12.2018;22:00;40,993; ;47,399;;198,971;;1,16876; ;3,41;;1021,9;;93,9;;
28.12.2018;23:00;42,015; ;49,922;;166,170;;1,11296; ;3,58;;1022,3;;93,5;;
29.12.2018;00:00;43,227; ;44,660;;137,767;;1,06916; ;3,26;;1022,3;;95,6;;
29.12.2018;01:00;44,573; ;43,895;;116,020;;0,99215; ;3,35;;1022,0;;96,9;;
29.12.2018;02:00;45,744; ;;*;;*;0,92029; ;3,67;;1021,8;;96,5;;
29.12.2018;03:00;46,917; ;40,874;;90,584;;0,84976; ;3,84;;1022,3;;96,4;;
29.12.2018;04:00;47,784; ;37,216;;89,213;;0,79346; ;3,71;;1022,3;;99,0;;
29.12.2018;05:00;48,854; ;38,708;;88,098;;0,73407; ;3,98;;1022,0;;98,6;;
29.12.2018;06:00;49,999; ;39,657;;107,997;;0,68849; ;4,05;;1021,6;;99,5;;
29.12.2018;07:00;50,758; ;42,973;;109,919;;0,64187; ;4,24;;1021,7;;99,5;;
29.12.2018;08:00;51,593; ;38,989;;96,387;;0,60868; ;4,35;;1021,9;;99,9;;
29.12.2018;09:00;52,436; ;37,857;;110,201;;0,60386; ;4,53;;1022,1;;100,0;;
29.12.2018;10:00;52,809; ;36,642;;109,637;;0,59992;E;4,75;;1021,7;;100,0;;
29.12.2018;11:00;53,135; ;42,743;;130,647;;0,60848; ;5,04;;1021,1;;100,0;;
29.12.2018;12:00;53,573; ;37,267;;127,365;;0,63308; ;5,23;;1020,2;;100,0;;
29.12.2018;13:00;53,889; ;40,410;;129,053;;0,65772; ;5,56;;1019,4;;99,7;;
29.12.2018;14:00;53,752; ;43,574;;107,985;;0,65781; ;6,09;;1018,7;;96,9;;
29.12.2018;15:00;53,170; ;43,399;;108,428;;0,67575; ;6,56;;1017,4;;93,1;;
29.12.2018;16:00;52,406; ;44,332;;100,028;;0,68670; ;6,45;;1016,2;;95,4;;
29.12.2018;17:00;51,062; ;36,074;;80,046;;0,67324; ;6,46;;1015,8;;98,6;;
29.12.2018;18:00;49,403; ;30,756;;73,505;;0,66137; ;6,65;;1015,1;;98,7;;
29.12.2018;19:00;47,671; ;33,302;;70,576;;0,64449; ;6,99;;1014,4;;98,8;;
29.12.2018;20:00;45,811; ;27,267;;54,384;;0,60601; ;7,67;;1013,7;;98,5;;
29.12.2018;21:00;43,691; ;16,985;;32,654;;0,55851;E;8,28;;1013,6;;94,2;;
29.12.2018;22:00;41,502; ;13,094;;24,453;;0,51989;E;7,61;;1014,0;;93,8;;
29.12.2018;23:00;39,587; ;11,880;;23,231;;0,47047;E;7,25;;1014,0;;92,3;;
30.12.2018;00:00;37,664; ;8,281;;15,272;;0,42312;E;7,24;;1014,4;;93,9;;
30.12.2018;01:00;35,636; ;6,365;;12,913;;0,38316;E;7,27;;1015,1;;94,4;;
30.12.2018;02:00;33,599; ;5,914;;9,841;;0,34224;E;7,56;;1016,5;;87,7;;
30.12.2018;03:00;31,507; ;;*;;*;0,29871;E;7,63;;1018,0;;81,8;;
