Lufthygienisches ‹berwachungssystem Niedersachsen;
Ostfriesische Inseln;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Schwefeldioxid;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;UV-Index;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;∞C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m≤;Status;--;Status;
28.12.2018;01:00;24,535; ;36,770;;38,552;;7,324;;-0,2439;E;6,31;;1023,5;;234,4;;2,96;;100,0;;0;;0,3;;0,0;;
28.12.2018;02:00;23,887; ;35,731;;36,873;;7,189;;-0,4449;E;6,16;;1023,6;;232,4;;2,98;;100,0;;0;;0,3;;0,0;;
28.12.2018;03:00;23,233; ;20,585;;21,000;;;*;-0,6324;E;6,62;;1024,0;;247,0;;2,43;;100,0;;0;;0,3;;0,0;;
28.12.2018;04:00;22,689; ;;*;;*;38,322;;;*;7,04;;1024,3;;259,3;;2,70;;100,0;;0;;0,1;;0,0;;
28.12.2018;05:00;22,164; ;8,315;;8,433;;43,167;;-0,4568;E;6,85;;1024,3;;264,3;;2,42;;100,0;;0;;0,0;;0,0;;
28.12.2018;06:00;21,526; ;5,792;;5,902;;49,284;;-0,2391;E;6,74;;1024,4;;273,7;;1,98;;100,0;;0;;0,0;;0,0;;
28.12.2018;07:00;20,856; ;6,061;;6,184;;50,514;;-0,4302;E;6,53;;1024,6;;276,3;;1,88;;100,0;;0;;0,0;;0,0;;
28.12.2018;08:00;20,149; ;4,693;;4,781;;52,925;;-0,3570;E;6,62;;1024,9;;266,9;;2,50;;100,0;;0;;0,0;;0,0;;
28.12.2018;09:00;19,376; ;3,886;;3,960;;55,382;;-0,2577;E;7,07;;1025,4;;259,8;;2,76;;100,0;;0;;1,4;;0,0;;
28.12.2018;10:00;18,783; ;6,939;;7,176;;49,175;;-0,1956;E;6,94;;1025,7;;236,1;;3,42;;100,0;;0;;14,7;;0,0;;
28.12.2018;11:00;18,307; ;6,652;;6,967;;47,726;;-0,5344;E;6,71;;1026,1;;241,0;;2,99;;100,0;;0;;27,5;;0,1;;
28.12.2018;12:00;17,765; ;5,852;;6,166;;49,384;;-0,3362;E;6,97;;1026,2;;251,9;;3,76;;100,0;;5;;32,6;;0,1;;
28.12.2018;13:00;17,257; ;10,626;;11,331;;44,313;;-0,5339;E;6,82;;1026,0;;250,4;;3,48;;100,0;;8;;32,7;;0,1;;
28.12.2018;14:00;16,739; ;10,789;;11,382;;44,042;;-0,4300;E;6,72;;1025,7;;239,3;;3,04;;100,0;;0;;29,4;;0,1;;
28.12.2018;15:00;16,360; ;11,428;;12,264;;42,322;;-0,3996;E;6,52;;1026,0;;230,6;;2,93;;100,0;;0;;28,7;;0,1;;
28.12.2018;16:00;16,086; ;12,811;;13,262;;38,911;;-0,1815;E;6,45;;1026,3;;231,4;;3,27;;100,0;;0;;11,8;;0,0;;
28.12.2018;17:00;15,796; ;15,394;;15,691;;34,316;;-0,2978;E;6,42;;1026,7;;234,1;;3,54;;100,0;;0;;0,7;;0,0;;
28.12.2018;18:00;15,415; ;10,898;;11,035;;42,731;;-0,3575;E;6,67;;1026,9;;236,1;;3,85;;100,0;;0;;0,0;;0,0;;
