Lufthygienisches ‹berwachungssystem Niedersachsen;
Ostfriesland;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;∞C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m≤;Status;
28.12.2018;01:00;26,371; ;45,670;;58,438;;;*;5,83;;1024,2;;274,9;;1,01;;95,4;;0;;0,4;;
28.12.2018;02:00;26,354; ;44,629;;62,619;;-0,026;E;5,87;;1024,3;;286,3;;1,42;;96,3;;0;;0,4;;
28.12.2018;03:00;26,210; ;43,656;;68,727;;-0,095;E;5,86;;1024,7;;271,0;;0,80;;98,0;;0;;0,1;;
28.12.2018;04:00;25,988; ;43,904;;68,816;;-0,039;E;5,98;;1024,9;;248,5;;0,80;;98,8;;0;;0,3;;
28.12.2018;05:00;25,715; ;43,517;;69,122;;-0,283;E;6,12;;1024,9;;255,6;;0,61;;99,1;;0;;0,1;;
28.12.2018;06:00;25,474; ;42,708;;74,604;;-0,406;E;6,02;;1025,0;;248,4;;0,72;;100,0;;0;;0,0;;
28.12.2018;07:00;25,346; ;42,345;;67,385;;-0,364;E;6,09;;1025,2;;280,6;;0,80;;100,0;;2;;0,0;;
28.12.2018;08:00;25,180; ;40,537;;54,849;;1,328;E;6,21;;1025,6;;279,2;;0,65;;100,0;;0;;0,2;;
28.12.2018;09:00;24,999; ;35,908;;47,931;;8,346;;6,40;;1026,1;;281,6;;0,84;;100,0;;6;;0,9;;
28.12.2018;10:00;24,833; ;33,127;;52,102;;10,502;;6,51;;1026,6;;276,6;;0,69;;100,0;;9;;9,0;;
28.12.2018;11:00;24,727; ;38,896;;51,621;;7,084;;6,67;;1026,7;;271,5;;0,62;;100,0;;0;;16,0;;
28.12.2018;12:00;24,754; ;40,287;;57,075;;6,155;;6,80;;1026,8;;283,1;;0,96;;100,0;;0;;21,1;;
28.12.2018;13:00;24,622; ;42,200;;61,644;;6,879;;6,94;;1026,7;;270,8;;0,91;;99,9;;0;;23,5;;
28.12.2018;14:00;24,460; ;41,425;;58,030;;8,926;;6,96;;1026,5;;242,5;;1,36;;99,2;;0;;20,2;;
28.12.2018;15:00;24,317; ;39,558;;59,369;;9,921;;7,00;;1026,8;;241,9;;1,25;;98,4;;0;;14,8;;
28.12.2018;16:00;24,476; ;44,377;;115,156;;0,569;E;6,61;;1027,1;;231,5;;1,79;;99,7;;0;;8,9;;
28.12.2018;17:00;24,738; ;45,510;;130,335;;0,262;E;6,38;;1027,4;;233,3;;1,81;;100,0;;0;;0,5;;
28.12.2018;18:00;25,095; ;57,595;;144,429;;0,295;E;6,41;;1027,7;;233,6;;2,10;;100,0;;5;;0,0;;
